Name,Release Date,Rating,Genre(s),Platform(s),Theme(s),Keyword(s),Developer(s),Player Perspective,Game Mode(s)
"Love, Kyoko",2020-01-31,,"Puzzle, Role-playing (RPG), Indie",PC (Microsoft Windows),,"cyberpunk, roguelike, ascii, cute, pixel art, turn-based combat",Lowsun,Bird view / Isometric,Single player
Skeletris,2020-01-25,,Strategy,"Linux, PC (Microsoft Windows), Mac",Horror,"roguelike, procedural generation, inventory management, skeletons",Ghast,Bird view / Isometric,Single player
Void Terrarium,2020-01-23,,Role-playing (RPG),"PlayStation 4, Nintendo Switch",Science fiction,"post-apocalyptic, anime, roguelike, robots, artificial intelligence, alternate costumes, mystery dungeon","Nippon Ichi Software, NIS America","Bird view / Isometric, Side view",Single player
Monster Girls and the Mysterious Adventure,2020-01-18,,"Role-playing (RPG), Indie",PC (Microsoft Windows),Fantasy,"3d, roguelike, mythology, single-player only, creature collector, monstergirl",NEKOTOKAGE GAMES,,Single player
DungeonTop: Spell Sword Cards,2020-01-16,70.0,"Role-playing (RPG), Strategy, Adventure, Indie, Card & Board Game","PlayStation 4, PC (Microsoft Windows), Nintendo Switch",Fantasy,"2d, roguelike, deck-building","One Up Plus Entertainment, Qubic Games",,Single player
Isleward,2020-01-13,,"Role-playing (RPG), Indie","Web browser, Linux, Android, PC (Microsoft Windows), Mac",Fantasy,roguelike,Big Bad Waffle,Bird view / Isometric,"Multiplayer, Co-operative, Massively Multiplayer Online (MMO)"
Tower of Arcana,2020-01-10,,"Role-playing (RPG), Strategy, Adventure, Indie, Card & Board Game",PC (Microsoft Windows),"Action, Fantasy","roguelite, deck-building, deckbuilder",,Bird view / Isometric,Single player
Seven Scrolls,2020-01-01,,"Role-playing (RPG), Tactical, Indie","Android, iOS","Fantasy, Historical","magic, roguelike, procedural generation",Jesse Venbrux,Bird view / Isometric,Single player
Mortacrust,2019-12-31,,"Platform, Puzzle, Turn-based strategy (TBS), Indie",PC (Microsoft Windows),,"ninja, weird, turn-based, roguelike",Z. Bill,,Single player
Space Grunts 2,2019-12-31,,"Strategy, Turn-based strategy (TBS), Indie, Arcade, Card & Board Game","Linux, Android, PC (Microsoft Windows), iOS, Mac",Science fiction,"roguelike, card battler","Orangepixel, HandyGames",Bird view / Isometric,Single player
Star of Providence: Relics of the Past,2019-12-25,,"Shooter, Indie, Arcade","Linux, PC (Microsoft Windows)","Action, Science fiction","procedural generation, roguelite, action roguelike",Team D-13,Bird view / Isometric,Single player
Outpost,2019-12-20,,"Strategy, Adventure, Indie","Linux, PC (Microsoft Windows), Mac",Action,"tower defense, roguelike, open world survival craft",Open Mid Interactive,Bird view / Isometric,Single player
Roguescape,2019-12-14,,"Platform, Adventure, Indie, Arcade","Linux, PC (Microsoft Windows), Mac",Fantasy,"wizards, roguelike, pixel art, procedurally generated, dungeon crawler",MissingTech,Side view,"Single player, Multiplayer"
Roguelike Simulator,2019-12-09,,Adventure,Web browser,,roguelike,eevee,,
Black Future '88,2019-11-21,60.0,"Shooter, Adventure, Indie","PC (Microsoft Windows), Nintendo Switch","Action, Science fiction","cyberpunk, roguelike","Good Shepherd Entertainment, SUPERSCARYSNAKES, Gambitious",Side view,"Single player, Multiplayer, Co-operative, Split screen"
Labyrinth of the Witch,2019-11-13,,"Puzzle, Role-playing (RPG)","PC (Microsoft Windows), Nintendo Switch",Fantasy,"2d, roguelike, pixel graphics",ORANGE CUBE,Third person,Single player
The Pit: Infinity,2019-11-12,,"Shooter, Indie",PC (Microsoft Windows),"Action, Science fiction, Horror, Survival","aliens, roguelike, online co-op, roguelite",Kerberos Productions,First person,"Single player, Multiplayer, Co-operative"
DemonCrawl,2019-11-05,80.0,"Puzzle, Role-playing (RPG), Strategy, Adventure, Indie","Android, PC (Microsoft Windows)",Fantasy,"roguelike, minesweeper",Therefore Games,Bird view / Isometric,Single player
Legioncraft,2019-11-01,,"Puzzle, Role-playing (RPG), Strategy, Adventure, Indie",PC (Microsoft Windows),Fantasy,"hand-drawn, tile based, modding support, roguelite, cards","INDIECN, SilverBlade, Way York",Bird view / Isometric,Single player
Ratropolis,2019-11-01,80.0,"Role-playing (RPG), Strategy, Indie, Card & Board Game","PC (Microsoft Windows), iOS, Mac","Survival, Warfare","tower defense, casual, real time tactics, roguelite, deck-building",Cassel Games,Side view,Single player
Magic Survival,2019-10-31,,"Puzzle, Strategy, Hack and slash/Beat 'em up",Android,Action,"wizards, demon, magic, 2d, artifacts, leveling, character select screen, upgradeable weapons, item combination, optional lore, in-game advertising, roguelite, in-app purchases, endless mode, lore rich",Leme,Bird view / Isometric,Single player
Tower of 100 Floors,2019-10-25,,Indie,PC (Microsoft Windows),Fantasy,roguelike,"Estúdio Vaca Roxa, Lastone",Bird view / Isometric,"Single player, Multiplayer, Co-operative"
Space Gladiators,2019-10-22,,"Fighting, Platform, Role-playing (RPG), Hack and slash/Beat 'em up, Indie, Arcade","PlayStation 4, Android, PC (Microsoft Windows), iOS, Xbox One, Nintendo Switch","Action, Science fiction","roguelike, roguelite",Blobfish,Side view,Single player
The Forgettable Dungeon,2019-10-21,,"Role-playing (RPG), Adventure, Indie",PC (Microsoft Windows),Action,"roguelike, action-adventure, digital distribution, pax east 2016","Happy Box Games LLC, Anthony Rotondo, hyperunknown",Bird view / Isometric,"Single player, Multiplayer, Co-operative, Split screen"
Battle Planet: Judgement Day,2019-10-16,70.0,"Shooter, Indie, Arcade","PlayStation 4, PC (Microsoft Windows), Nintendo Switch",Action,roguelite,"THR3AKS, Wild River Games, THREAKS",Bird view / Isometric,"Single player, Multiplayer, Co-operative"
Tower Hunter: Erza's Trial,2019-10-12,50.0,"Platform, Role-playing (RPG), Adventure, Indie","PC (Microsoft Windows), iOS","Action, Fantasy","2.5d, roguelite",IceSitruuna,Side view,Single player
Rook,2019-09-22,,"Puzzle, Indie, Card & Board Game",Web browser,,"chess, browser-based, freeware, game jam, free-to-play, chessboard, roguelite, alakajam, alakajam 7",Raindrinker,Bird view / Isometric,Single player
Devil's Deck,2019-09-18,60.0,"Role-playing (RPG), Strategy, Adventure, Indie","Linux, PC (Microsoft Windows)",Mystery,"roguelike, steam cloud, steam leaderboards, roguelike deckbuilder",Chengdu zhidianshidai Technology Limited company,,Single player
Crying Suns,2019-09-18,59.3,"Role-playing (RPG), Simulator, Strategy, Tactical, Indie","Android, PC (Microsoft Windows), iOS, Mac, Nintendo Switch",Science fiction,roguelike,"Humble Bundle, Alt Shift, Humble Games",,Single player
Just Random Squares,2019-08-23,,"Role-playing (RPG), Indie",PC (Microsoft Windows),Action,"roguelike, bullet hell",,Bird view / Isometric,Single player
Plunge,2019-08-23,70.0,"Puzzle, Strategy, Tactical, Adventure, Indie","PC (Microsoft Windows), Mac, Nintendo Switch",Action,"medieval, roguelike, traps, digital distribution, pax west 2017, escaping imprisonment",Spooky Buns,Bird view / Isometric,Single player
Dead Cells: Action Game of the Year,2019-08-20,,"Platform, Adventure, Indie","PlayStation 4, Nintendo Switch","Action, Fantasy","metroidvania, roguelite, soulslike","Merge Games, Motion Twin, Evil Empire",Side view,Single player
Rad,2019-08-20,64.9,"Role-playing (RPG), Hack and slash/Beat 'em up, Adventure, Indie, Arcade","PlayStation 4, PC (Microsoft Windows), Xbox One, Nintendo Switch",Action,"post-apocalyptic, mutation, mutants, roguelite","Bandai Namco Entertainment America, Double Fine Productions, Bandai Namco Entertainment","Third person, Bird view / Isometric",Single player
Card Wizard,2019-08-18,,"Puzzle, Strategy, Turn-based strategy (TBS), Indie","Android, iOS",Fantasy,"wizards, magic, dungeon crawling, turn-based tactics, magic staff, roguelite, bosses, cards",111Percent,Bird view / Isometric,Single player
Rogue Rocks,2019-08-15,,"Shooter, Indie, Arcade","Linux, PC (Microsoft Windows)",Action,"shoot 'em up, procedural generation, space, asteroids, roguelite",AUX-IN Games,Bird view / Isometric,Single player
Emberlight,2019-08-13,,"Role-playing (RPG), Strategy, Indie","Linux, PC (Microsoft Windows), Mac",Fantasy,"exploration, procedural generation, permadeath, dungeon crawler, roguelite",Quarter Onion Games,Bird view / Isometric,Single player
Dicey Dungeons,2019-08-13,71.3,"Role-playing (RPG), Strategy, Adventure, Indie, Card & Board Game","Xbox Series X|S, PlayStation 4, Linux, Android, PC (Microsoft Windows), iOS, PlayStation 5, Mac, Xbox One, Nintendo Switch","Fantasy, Comedy","casual, thief, turn-based, roguelike, procedural generation, cute, dungeon crawling, dice, dungeon crawler, colorful, great soundtrack, battle, roguelite, mouse only, deck-building, roguelike deckbuilder, replayability, warrior, dungeon, deckbuilder, cartoon, card battler, replay value, monster","Distractionware, Terry Cavanagh",Side view,Single player
Portals of Phereon,2019-08-12,,"Role-playing (RPG), Strategy, Tactical, Indie",PC (Microsoft Windows),"Fantasy, Erotic","adult, roguelike, breeding, robots, procedural generation, permadeath, resource management, mythology, multiple endings, pixel graphics, nudity, procedurally generated, mermaid, hand-drawn, sexual content, tactical turn-based combat, centaurs, save file unlockables, in-game achievements, randomly generated maps, unlockable difficulty level, secret areas within secret areas, spirits, party customization, unlockable characters, adjustable difficulty, unlockable gallery, dating simulation, hexagon tiles, monster tamer, turn-based rpg, multiple playable characters, hex grid, creature collector, monstergirl",,Bird view / Isometric,Single player
Rogue Legacy: Wanderer Edition,2019-08-08,,"Platform, Indie",iOS,"Action, Fantasy",roguelite,Cellar Door Games,Side view,Single player
Yokai Dungeon,2019-08-08,,"Puzzle, Indie","Android, iOS","Action, Fantasy","roguelike, yokai, random level generation",Neutronized,Bird view / Isometric,Single player
Phantom Rose,2019-08-08,60.0,"Strategy, Indie, Card & Board Game","PC (Microsoft Windows), Mac",Fantasy,"anime, roguelike, deck-building","makaroll, Studio Maka, Maple Whispering Limited",Side view,Single player
Labyrinth Life,2019-08-01,,Role-playing (RPG),"PlayStation 4, Nintendo Switch",Fantasy,"roguelike, dungeon crawler","D3 Publisher, Matrix Software","Third person, Bird view / Isometric",Single player
Azazel,2019-07-31,,Role-playing (RPG),"Linux, PC (Microsoft Windows), Mac",,"roguelike, goat, animal protagonist, short, biblical quotes",Seth Alter,Bird view / Isometric,Single player
Omega Labyrinth Life,2019-07-31,60.0,"Role-playing (RPG), Adventure","PlayStation 4, PC (Microsoft Windows), Nintendo Switch",Fantasy,"roguelike, dungeon crawler, partial nudity, suggestive themes","D3 Publisher, Matrix Software","Third person, Bird view / Isometric",Single player
Alfal's Grove,2019-07-29,,"Shooter, Indie",PC (Microsoft Windows),"Action, Science fiction","roguelike, 3d platformer, roguelite",Ryan Scott,First person,Single player
Hells Divide,2019-07-28,,"Hack and slash/Beat 'em up, Indie","Linux, PC (Microsoft Windows)","Action, Horror","hell, roguelite",,First person,Single player
Dead Hand,2019-07-26,70.0,"Role-playing (RPG), Strategy, Tactical, Indie",PC (Microsoft Windows),,"vehicular combat, roguelike, robots, difficult, dungeon crawler, tactical turn-based combat",One Man Army Games,,Single player
Elemental War,2019-07-19,60.0,"Strategy, Indie","Xbox Series X|S, PlayStation 4, Linux, PC (Microsoft Windows), PlayStation 5, Mac, Xbox One",Fantasy,"tower defense, roguelike, pvp, steampunk, leaderboard",Clockwork Origins,Bird view / Isometric,"Single player, Multiplayer, Co-operative"
Nowhere Prophet,2019-07-19,77.5,"Puzzle, Role-playing (RPG), Strategy, Turn-based strategy (TBS), Adventure, Indie, Arcade, Card & Board Game","PlayStation 4, Linux, PC (Microsoft Windows), Mac, Xbox One, Nintendo Switch",Science fiction,"post-apocalyptic, roguelike, dystopian, procedural generation, deck-building","Sharkbomb Studios, No More Robots",Bird view / Isometric,Single player
Touhou Genso Wanderer: Lotus Labyrinth - Miko Rabbit-chan 1-gou,2019-07-18,,"Role-playing (RPG), Indie","PlayStation 4, Nintendo Switch","Action, Fantasy","anime, vampire, magic, 3d, 2d, roguelike, robots, frog, rabbit, village, fairy, cute, japan, snow, random level generation, dungeon crawler, youkai, manic shooter, maid, great soundtrack, magical girl, battle, human, poisoning, phantom, touhou project, bunny, fangame, conversation, faith, touhou fangame, magician, level up, half-human, doujin game","AQUA STYLE, Phoenixx Inc.",Bird view / Isometric,Single player
Touhou Genso Wanderer: Lotus Labyrinth - Reimu Hakurei Blue,2019-07-18,,"Role-playing (RPG), Adventure, Indie","PlayStation 4, Nintendo Switch","Action, Fantasy","anime, vampire, magic, 3d, 2d, roguelike, frog, rabbit, village, fairy, dracula, cute, japan, random level generation, dungeon crawler, youkai, manic shooter, maid, great soundtrack, magical girl, battle, human, poisoning, touhou project, bunny, fangame, conversation, faith, touhou fangame, level up, half-human, doujin game","AQUA STYLE, Phoenixx Inc.",Bird view / Isometric,Single player
Eagle Island Twist,2019-07-18,,"Platform, Adventure, Indie","PlayStation 4, PC (Microsoft Windows), Xbox One, Nintendo Switch","Action, Fantasy","16-bit, roguelike, cute, pixel art, colorful","Pixelnicks, Screenwave Media",Third person,Single player
Fate Hunters,2019-07-18,56.8,"Strategy, Adventure, Indie, Card & Board Game","Linux, PC (Microsoft Windows), Mac",Fantasy,roguelike,Tower Games,First person,Single player
Touhou Genso Wanderer: Lotus Labyrinth,2019-07-18,,"Role-playing (RPG), Adventure, Indie","PlayStation 4, PC (Microsoft Windows), Nintendo Switch","Action, Fantasy","zombies, anime, wizards, vampire, magic, 3d, 2d, turn-based, roguelike, robots, frog, doctor, rabbit, village, fairy, bird, dracula, cute, japan, snow, wolf, camera, shanghai, dog, random level generation, mermaid, youkai, puppet, devil, maid, great soundtrack, spider, cat, human, mouse, heterochromia, poisoning, phoenix, phantom, touhou project, tiger, bug, bunny, fangame, conversation, nuclear, faith, touhou fangame, magician, third eye, level up, half-human, doujin game","AQUA STYLE, AQUA STYLE, Phoenixx Inc.",Bird view / Isometric,Single player
Streets of Rogue,2019-07-11,65.3,"Shooter, Role-playing (RPG), Hack and slash/Beat 'em up, Adventure, Indie","PlayStation 4, Linux, PC (Microsoft Windows), Mac, Xbox One, Nintendo Switch","Action, Stealth, Comedy, Sandbox","roguelike, procedural generation, action-adventure, procedurally generated, pax west 2017, pax south 2017, pax west 2016, roguelite, speedrun mode","Matt Dabrowski, tinyBuild, Pingle Game Studio",Bird view / Isometric,"Single player, Multiplayer, Co-operative, Split screen"
Eagle Island,2019-07-10,60.0,"Platform, Adventure, Indie","Linux, PC (Microsoft Windows), Mac, Nintendo Switch","Action, Fantasy","roguelike, metroidvania, crowdfunding - kickstarter, roguelite, speedrun mode","Pixelnicks, Screenwave Media",Side view,Single player
Order of Fate,2019-07-03,,Role-playing (RPG),"Android, iOS",Fantasy,roguelike,,,Single player
Bumpin' Dungeon,2019-07-03,,"Puzzle, Indie","Android, iOS",Fantasy,"turn-based, roguelike, grid-based movement, dungeon crawler, free-to-play, in-app purchases",Moby Pixel,Bird view / Isometric,Single player
Zorbus,2019-06-30,,"Role-playing (RPG), Turn-based strategy (TBS), Indie",PC (Microsoft Windows),Fantasy,"magic, roguelike",Joonas Hirvonen,"Third person, Bird view / Isometric",Single player
The World is Your Weapon,2019-06-27,70.0,"Role-playing (RPG), Indie",PC (Microsoft Windows),Action,"roguelike, roguelite","kagaya, DWANGO",Bird view / Isometric,Single player
Soulash,2019-06-21,,"Role-playing (RPG), Turn-based strategy (TBS), Indie",PC (Microsoft Windows),"Fantasy, Survival, Open world","turn-based, roguelike, crafting",Wizards of the Code,"Bird view / Isometric, Text",Single player
